head := query_30Centriod
499-th query  distance:=38928.2
500-th query  distance:=39769.9
501-th query  distance:=69355.2
502-th query  distance:=29277.3
503-th query  distance:=49331.1
504-th query  distance:=38744.2
505-th query  distance:=18263.9
506-th query  distance:=67483.6
507-th query  distance:=22902
508-th query  distance:=52932.4
509-th query  distance:=37290
510-th query  distance:=29832.6
511-th query  distance:=77162.2
512-th query  distance:=59064.9
513-th query  distance:=54054.2
514-th query  distance:=53924
515-th query  distance:=34782.3
516-th query  distance:=20824.9
517-th query  distance:=66247.1
518-th query  distance:=49231.2
519-th query  distance:=44428.6
520-th query  distance:=25271
521-th query  distance:=54236
522-th query  distance:=52581.1
523-th query  distance:=46678.1
524-th query  distance:=71138.3
525-th query  distance:=69578.2
526-th query  distance:=44819.6
527-th query  distance:=42991.5
528-th query  distance:=47348.7
529-th query  distance:=41690.7
530-th query  distance:=42526
531-th query  distance:=40388.7
532-th query  distance:=55179.6
533-th query  distance:=38563.2
534-th query  distance:=29681.7
535-th query  distance:=6663.51
536-th query  distance:=23231.5
537-th query  distance:=44743.2
538-th query  distance:=58335
539-th query  distance:=41567
540-th query  distance:=43900
541-th query  distance:=47908.2
542-th query  distance:=50992
543-th query  distance:=38264.4
544-th query  distance:=55374.6
545-th query  distance:=28825.4
546-th query  distance:=46462.4
547-th query  distance:=29338.1
548-th query  distance:=16828
549-th query  distance:=51404
550-th query  distance:=52157.8
551-th query  distance:=50129.9
552-th query  distance:=54313.2
553-th query  distance:=59906.5
554-th query  distance:=24115
555-th query  distance:=53863.4
556-th query  distance:=53194.3
557-th query  distance:=63515.1
558-th query  distance:=55373
559-th query  distance:=32685.4
560-th query  distance:=62189
561-th query  distance:=59769.4
562-th query  distance:=61195.8
563-th query  distance:=72895.5
564-th query  distance:=14782.6
565-th query  distance:=59094.6
566-th query  distance:=32544.5
567-th query  distance:=61269.2
568-th query  distance:=62016.6
569-th query  distance:=26915.8
570-th query  distance:=50469.2
571-th query  distance:=55631
572-th query  distance:=30758.4
573-th query  distance:=49458.7
574-th query  distance:=59080.5
575-th query  distance:=61897.5
576-th query  distance:=43676.8
577-th query  distance:=34917.2
578-th query  distance:=34980
579-th query  distance:=62462.7
580-th query  distance:=52941.4
581-th query  distance:=33609
582-th query  distance:=58859.8
583-th query  distance:=59744
584-th query  distance:=31309.2
585-th query  distance:=58079.1
586-th query  distance:=51157.4
587-th query  distance:=44145.9
588-th query  distance:=58904.8
589-th query  distance:=38008.3
590-th query  distance:=52017.5
591-th query  distance:=50254.1
592-th query  distance:=47460.2
593-th query  distance:=43732.5
594-th query  distance:=33326.8
595-th query  distance:=4541.22
596-th query  distance:=51285.2
597-th query  distance:=50407.2
598-th query  distance:=47660.6
599-th query  distance:=17843.3
600-th query  distance:=41437.8
601-th query  distance:=4674.29
602-th query  distance:=35482.1
603-th query  distance:=42136.1
604-th query  distance:=56951.7
605-th query  distance:=17522.4
